title,action_type,article:published_time,eli5,og:url,keywords,citations
"Protecting The Meaning And Value Of American Citizenship – The White House
",Executive Order,2025-01-21T01:37:50+00:00,"This order changes who gets to be an American citizen when they're born in America. If someone's mom isn't allowed to be in America or is just visiting temporarily, and their dad isn't an American citizen or permanent resident, their baby won't automatically become an American citizen anymore.",https://www.whitehouse.gov/presidential-actions/2025/01/protecting-the-meaning-and-value-of-american-citizenship/,"['citizenship', 'birthright citizenship', 'immigration', '14th Amendment', 'constitutional law', 'federal agencies', 'immigration policy', 'national security', 'constitutional rights', 'administrative law']","['14th Amendment to the US Constitution', 'Dred Scott v. Sandford, 60 U.S. (19 How.) 393 (1857)', '8 U.S.C. 1401']"
"Hiring Freeze – The White House
",Presidential Memorandum,2025-01-20T23:54:32+00:00,"The President told most government offices they can't hire new workers for a while, except for important jobs like military and safety workers. It's like pressing a pause button on hiring new people until they can figure out how to make the government smaller and work better.",https://www.whitehouse.gov/presidential-actions/2025/01/hiring-freeze/,"['hiring freeze', 'federal workforce', 'government employment', 'executive branch', 'workforce reduction', 'federal personnel', 'civil service', 'government reorganization', 'personnel management', 'federal agencies']","['5 U.S.C. § 3161 (Temporary organization hiring authority)', 'Constitution of the United States', 'Schedule A Excepted Service', 'Schedule C Excepted Service', 'Senior Executive Service regulations']"
"Delivering Emergency Price Relief for American Families and Defeating the Cost-of-Living Crisis – The White House
",Presidential Memorandum,2025-01-20T23:54:45+00:00,"The President is telling government workers to find ways to make things cost less money for families. They need to look at making houses, doctor visits, home appliances, and gas cheaper, and help more people get jobs.",https://www.whitehouse.gov/presidential-actions/2025/01/delivering-emergency-price-relief-for-american-families-and-defeating-the-cost-of-living-crisis/,"['inflation', 'price relief', 'regulation', 'housing costs', 'energy policy', 'healthcare costs', 'employment', 'economic policy', 'consumer protection', 'administrative action']",[]
"Securing Our Borders – The White House
",Executive Order,2025-01-21T01:39:07+00:00,"The President wants to make the country's borders more secure by building walls, adding more guards, and making sure people who try to enter the country without permission are sent back home instead of being allowed to stay. It's like making sure your house has strong locks and only letting in people who have permission to visit.",https://www.whitehouse.gov/presidential-actions/2025/01/securing-our-borders/,"['Border Security', 'Immigration Enforcement', 'Border Wall', 'Detention', 'Migrant Protection Protocols', 'Parole', 'Law Enforcement', 'International Cooperation', 'DNA Testing', 'Human Trafficking', 'Southern Border']","['Immigration and Nationality Act (INA), 8 U.S.C. 1101 et seq.', '3 U.S.C. 301', '8 U.S.C. 1103(a)(2) and (4)-(6)', '8 U.S.C. 1225(b)(2)(C)', '8 U.S.C. 1158(a)(2)(A)', 'DNA Fingerprint Act of 2005, Public Law 109-162, Title X']"
"Unleashing Alaska's Extraordinary Resource Potential – The White House
",Executive Order,2025-01-21T01:45:57+00:00,"The President signed an order saying Alaska can use more of its natural resources like oil, gas, and minerals that are found in its land. This would help create jobs and make America less dependent on other countries for energy.",https://www.whitehouse.gov/presidential-actions/2025/01/unleashing-alaskas-extraordinary-resource-potential/,"['Alaska', 'Natural Resources', 'Energy Development', 'Oil and Gas', 'Environmental Policy', 'Arctic National Wildlife Refuge', 'National Petroleum Reserve', 'LNG', 'Land Management', 'Hunting Rights', 'Infrastructure']","['Alaska Statehood Act of 1958 (Public Law 85-508)', 'Alaska National Interest Lands Conservation Act (16 U.S.C. 3101)', 'Alaska Native Claims Settlement Act of 1971 (43 U.S.C. 1601)', 'Alaska Land Transfer Acceleration Act (Public Law 108-452)', 'Submerged Lands Act of 1953 (43 U.S.C. 1301)', 'Federal Land Policy and Management Act of 1976 (43 U.S.C. 1745)', '85 Fed. Reg. 35181', '89 Fed. Reg. 88805', '89 Fed. Reg. 38712', '85 Fed. Reg. 68688']"
"President Trump Announces Acting Cabinet and Cabinet-Level Positions – The White House
",Presidential Action,2025-01-20T19:40:00+00:00,The President picked temporary leaders to run different parts of the government until permanent leaders can be chosen. It's like having substitute teachers run the school until new permanent teachers are hired.,https://www.whitehouse.gov/presidential-actions/2025/01/designation-of-acting-leaders/,"['Cabinet appointments', 'Acting officials', 'Executive departments', 'Federal agencies', 'Presidential transition', 'Temporary appointments', 'Government leadership', 'Federal administration', 'Executive branch', 'Interim management']","['5 U.S.C. 3345 et seq.', 'U.S. Constitution (implied)', 'Federal Vacancies Reform Act (implied)']"
"Memorandum to Resolve the Backlog of Security Clearances for Executive Office of the President Personnel – The White House
",Presidential Memorandum,2025-01-21T01:31:15+00:00,The President wrote a note saying that some new White House workers can't do their jobs because they're waiting too long for special permission to enter important areas. So the President is giving them temporary permission to work while they wait for their permanent permission.,https://www.whitehouse.gov/presidential-actions/2025/01/memorandum-to-resolve-the-backlog-of-security-clearances-for-executive-office-of-the-president-personnel/,"['security clearance', 'Executive Office of the President', 'White House Counsel', 'TS/SCI', 'interim clearance', 'White House Security Office', 'facility access', 'personnel', 'administrative process']","['Constitution of the United States', 'Sensitive Compartmented Information (SCI) protocols']"
"Defending Women From Gender Ideology Extremism And Restoring Biological Truth To The Federal Government – The White House
",Executive Order,2025-01-21T01:51:27+00:00,"This order says that for all government rules, there are only two types of people - boys/men and girls/women - based on how they were born. It changes rules that let people choose which group they belong to.",https://www.whitehouse.gov/presidential-actions/2025/01/defending-women-from-gender-ideology-extremism-and-restoring-biological-truth-to-the-federal-government/,"['sex', 'gender', 'transgender rights', ""women's rights"", 'biological sex', 'gender identity', 'federal policy', 'civil rights', 'discrimination', 'administrative law']","['5 U.S.C. § 7301', 'Bostock v. Clayton County (2020)', 'Civil Rights Act of 1964', 'Title IX of the Educational Amendments Act', '28 CFR 115.41', 'Americans with Disabilities Act', '81 FR 64763', 'Executive Orders 13988, 14004, 14020, 14021, and 14075']"
"Restoring Accountability for Career Senior Executives – The White House
",Presidential Memorandum,2025-01-21T01:42:07+00:00,"The President wants to make sure important government workers called Senior Executives do their jobs properly and follow instructions. If they don't do a good job or don't follow the rules, they can be moved to different jobs or even fired.",https://www.whitehouse.gov/presidential-actions/2025/01/restoring-accountability-for-career-senior-executives/,"['Senior Executive Service', 'Executive Branch', 'Accountability', 'Performance Management', 'Presidential Authority', 'Federal Workforce', 'Government Reform', 'Executive Power', 'Personnel Management', 'Administrative Law']","['5 U.S.C. § 3131', '5 U.S.C. § 3395', 'Article II of the Constitution', 'Seila Law LLC v. Consumer Financial Protection Bureau, 591 U.S. 197 (2020)']"
"Granting Pardons And Commutation Of Sentences For Certain Offenses Relating To The Events At Or Near The United States Capitol On January 6, 2021 – The White House
",Proclamation,2025-01-21T01:03:42+00:00,"The President used special powers given by the Constitution to forgive people who were in trouble for what happened at the Capitol building on January 6, 2021. Some people who were in jail will be let out, and others won't be in trouble anymore.",https://www.whitehouse.gov/presidential-actions/2025/01/granting-pardons-and-commutation-of-sentences-for-certain-offenses-relating-to-the-events-at-or-near-the-united-states-capitol-on-january-6-2021/,"['pardons', 'commutations', 'January 6', 'Capitol riot', 'executive clemency', 'criminal justice', 'constitutional powers', 'Department of Justice', 'Bureau of Prisons']","['U.S. Constitution Article II, Section 2']"
"Flying The Flag Of The United States At Full-Staff On Inauguration Day – The White House
",Proclamation,2025-01-20T19:55:00+00:00,"The President made a rule that on Inauguration Day, which is when a new president takes office, all American flags should be raised all the way up on their flagpoles to show respect for this special day. After the celebration is over, the flags will go halfway down again to remember former President Carter who recently passed away.",https://www.whitehouse.gov/presidential-actions/2025/01/flying-the-flag-of-the-united-states-at-full-staff-on-inauguration-day/,"['Flag', 'Inauguration Day', 'Federal buildings', 'Military installations', 'Naval vessels', 'Diplomatic facilities', 'Presidential transition', 'National symbols', 'Presidential memorial', 'Half-staff protocol']","['Constitution of the United States', 'Proclamation 10876 of December 29, 2024 (Announcing the Death of James Earl Carter, Jr.)']"
"Realigning the United States Refugee Admissions Program – The White House
",Executive Order,2025-01-21T01:37:49+00:00,The President is pressing pause on letting refugees come into America because some cities and towns say they're having trouble taking care of all the new people arriving. The government will check every few months to see if it's okay to start letting refugees in again.,https://www.whitehouse.gov/presidential-actions/2025/01/realigning-the-united-states-refugee-admissions-program/,"['refugees', 'immigration', 'USRAP', 'national security', 'local government', 'resettlement', 'public safety', 'state involvement', 'homeland security', 'emergency declaration']","['Immigration and Nationality Act (INA), 8 U.S.C. 1101 et seq.', '3 U.S.C. 301', '8 U.S.C. 1182(f)', '8 U.S.C. 1185(a)', '8 U.S.C. 1522(a)(2)', 'Executive Order 14013 of February 4, 2021']"
"Putting America First In International Environmental Agreements – The White House
",Executive Order,2025-01-20T23:55:01+00:00,"The President signed a paper saying America will leave special agreements with other countries about helping the environment. Instead of following other countries' rules about pollution and climate change, America will make its own decisions that put American jobs and money first.",https://www.whitehouse.gov/presidential-actions/2025/01/putting-america-first-in-international-environmental-agreements/,"['Paris Agreement', 'Climate Change', 'International Agreements', 'Environmental Policy', 'Economic Policy', 'United Nations', 'Foreign Relations', 'America First', 'Environmental Protection', 'Financial Commitments']","['United Nations Framework Convention on Climate Change', 'Paris Agreement', 'U.S. International Climate Finance Plan']"
"The Organization for Economic Co-operation and Development (OECD) Global Tax Deal (Global Tax Deal) – The White House
",Presidential Memorandum,2025-01-21T01:44:20+00:00,The President wrote a note saying America won't follow other countries' tax rules unless Congress agrees to them. He also asked his team to watch out for other countries trying to be unfair to American companies with their tax rules.,https://www.whitehouse.gov/presidential-actions/2025/01/the-organization-for-economic-co-operation-and-development-oecd-global-tax-deal-global-tax-deal/,"['OECD', 'Global Tax', 'International taxation', 'Tax treaties', 'Foreign relations', 'Economic policy', 'Treasury', 'Trade', 'Sovereignty', 'Economic competitiveness']","['No specific citations to US Code, CFR, or other authorities are provided in the text']"
"Designating Cartels And Other Organizations As Foreign Terrorist Organizations And Specially Designated Global Terrorists – The White House
",Executive Order,2025-01-21T02:07:53+00:00,The President signed a paper that says dangerous criminal groups called cartels are like terrorists because they hurt people and bring drugs into our country. This lets the government use special laws to stop them and protect our country better.,https://www.whitehouse.gov/presidential-actions/2025/01/designating-cartels-and-other-organizations-as-foreign-terrorist-organizations-and-specially-designated-global-terrorists/,"['drug cartels', 'terrorism', 'national security', 'border control', 'MS-13', 'Tren de Aragua', 'foreign terrorist organizations', 'national emergency', 'immigration enforcement', 'international crime']","['Immigration and Nationality Act (INA), 8 U.S.C. 1101', 'International Emergency Economic Powers Act (IEEPA), 50 U.S.C. 1701', '8 U.S.C. 1189', '50 U.S.C. 1702', 'Executive Order 13224 (September 23, 2001)', 'Alien Enemies Act, 50 U.S.C. 21']"
"Presidential Actions – The White House
","Presidential Actions (multiple, specific types not specified)",,"This is like a table of contents showing different rules and decisions that a president made on their first day in office. These rules cover things like protecting the country, changing how government works, and managing natural resources.",https://www.whitehouse.gov/presidential-actions/,"['presidential actions', 'national security', 'immigration', 'federal hiring', 'DEI', 'gender policy', 'government efficiency', 'foreign policy', 'terrorism', 'natural resources', 'Alaska']",[]
"MARTIN LUTHER KING, JR., FEDERAL HOLIDAY, 2025 – The White House
",Proclamation,2025-01-21T01:58:45+00:00,"The President made January 20, 2025, a special day to remember Dr. Martin Luther King, Jr., who worked very hard to make sure everyone in America would be treated fairly and equally, no matter what they looked like.",https://www.whitehouse.gov/presidential-actions/2025/01/martin-luther-king-jr-federal-holiday-2025/,"['Martin Luther King Jr', 'Civil Rights', 'Federal Holiday', 'Equality', 'Faith', 'Community Service', 'American Dream', 'Founding Principles', 'Social Justice', 'Racial Equality']","['Constitution of the United States', ""Reference to President Ronald Reagan's original MLK Day proclamation""]"
"Establishing And Implementing The President's ""Department Of Government Efficiency"" – The White House
",Executive Order,2025-01-21T01:50:14+00:00,The President created a new team called DOGE to help make government computers and software work better together. It's like having a group of tech experts help different government offices share their information and work more smoothly as a team.,https://www.whitehouse.gov/presidential-actions/2025/01/establishing-and-implementing-the-presidents-department-of-government-efficiency/,"['government efficiency', 'digital service', 'DOGE', 'technology modernization', 'software systems', 'interoperability', 'data management', 'federal agencies', 'organizational restructuring', 'temporary organization']","['5 U.S.C. § 551', '5 U.S.C. § 3161']"
"President Trump Designates Chairmen and Acting Chairmen – The White House
",Presidential Action,2025-01-20T19:45:00+00:00,The President picked new leaders for different government groups that help run the country. Some leaders are permanent and some are temporary until new permanent leaders can be chosen.,https://www.whitehouse.gov/presidential-actions/2025/01/designation-of-chairmen-and-acting-chairmen/,"['federal agencies', 'regulatory commissions', 'appointments', 'chairmen', 'acting chairmen', 'executive leadership', 'federal governance', 'administrative appointments']",[]
"President Trump Announces Cabinet and Cabinet Level Appointments – The White House
",Presidential Action,2025-01-20T19:30:00+00:00,"The President has picked new leaders to help run different parts of the government, like someone picking team captains. Each person will be in charge of important things like schools, roads, or keeping the country safe, but they need the Senate to say 'yes' first.",https://www.whitehouse.gov/presidential-actions/2025/01/cabinet-and-cabinet-level-appointments/,"['Cabinet appointments', 'Presidential nominations', 'Executive branch', 'Senate confirmation', 'Federal government', 'Department heads', 'Cabinet-level positions', 'Administrative appointments']","['U.S. Constitution, Article II, Section 2, Clause 2 (Appointments Clause)', '5 U.S.C. § 3110 (Anti-nepotism statute)', '28 U.S.C. § 532 (Qualification requirements for certain positions)']"
"GUARANTEEING THE STATES PROTECTION AGAINST INVASION – The White House
",Presidential Proclamation,2025-01-21T02:30:00+00:00,"The President is saying that too many people are coming into the country illegally through the southern border, calling it an 'invasion.' He's ordering that these people be stopped from entering and sent back to protect the country and help the states that are dealing with this problem.",https://www.whitehouse.gov/presidential-actions/2025/01/guaranteeing-the-states-protection-against-invasion/,"['Immigration', 'Border Security', 'National Security', 'Constitutional Powers', 'Executive Authority', 'State Protection', 'Invasion', 'Southern Border', 'Illegal Entry', 'Asylum', 'Deportation', 'Public Safety', 'Public Health']","['U.S. Constitution Article IV, Section 4', 'U.S. Constitution Article II', 'Immigration and Nationality Act (INA)', '8 U.S.C. 1101 et seq.', '8 U.S.C. 1182(f)', '8 U.S.C. 1185(a)', '8 U.S.C. 1182(a)(1)-(3)', '8 U.S.C. 1158', 'Trump v. Hawaii, 585 U.S. 667 (2018)', 'U.S. ex rel. Knauff v. Shaughnessy, 338 U.S. 537 (1950)']"
"Return to In-Person Work – The White House
",Presidential Memorandum,2025-01-20T23:54:11+00:00,The President is telling all government workers that they need to stop working from home and come back to their regular offices to work. Some workers might still be allowed to work from home if their bosses think it's necessary.,https://www.whitehouse.gov/presidential-actions/2025/01/return-to-in-person-work/,"['remote work', 'federal employees', 'return to office', 'duty station', 'workplace policy', 'federal workforce', 'telework', 'in-person work', 'agency operations']",['No specific citations to laws or regulations provided in the text']
"Restoring Accountability To Policy-Influencing Positions Within the Federal Workforce – The White House
",Executive Order,2025-01-21T01:29:55+00:00,"The President wants to make it easier to fire government workers who don't follow the rules or do their jobs properly, especially those who make important decisions. It's like making sure the people who work for the President actually do what they're supposed to do.",https://www.whitehouse.gov/presidential-actions/2025/01/restoring-accountability-to-policy-influencing-positions-within-the-federal-workforce/,"['civil service', 'federal workforce', 'accountability', 'executive branch', 'personnel management', 'policy positions', 'Schedule Policy/Career', 'federal employees', 'employment rights', 'administrative law']","['5 U.S.C. §§ 3301, 3302, 7511', 'Executive Order 13957 (October 21, 2020)', 'Executive Order 14003 (January 22, 2021)', '89 Fed. Reg. 24982', '5 CFR part 302, subpart F', '5 CFR 210.102(b)(3)', '5 CFR 210.102(b)(4)', 'Civil Service Rule 6.3(a)']"
"Ending Radical And Wasteful Government DEI Programs And Preferencing – The White House
",Executive Order,2025-01-21T01:54:14+00:00,"This is like a rule that says the government will stop having special programs that focus on making things fair for different groups of people. Instead, the government wants to treat everyone exactly the same way.",https://www.whitehouse.gov/presidential-actions/2025/01/ending-radical-and-wasteful-government-dei-programs-and-preferencing/,"['DEI', 'DEIA', 'Environmental Justice', 'Federal Employment', 'Discrimination', 'Equal Treatment', 'Government Reform', 'Administrative Policy', 'Federal Contractors', 'Federal Grants']","['Executive Order 13985', '28 U.S.C. 530D']"
"Protecting The American People Against Invasion – The White House
",Executive Order,2025-01-21T01:45:42+00:00,The President made new rules about people who come into America without permission. The rules say that police and government workers should work harder to find these people and make them follow the law or leave the country. They also want to build more places to keep people who break these rules until they can be sent back to their home countries.,https://www.whitehouse.gov/presidential-actions/2025/01/protecting-the-american-people-against-invasion/,"['immigration enforcement', 'border security', 'deportation', 'detention facilities', 'sanctuary cities', 'illegal aliens', 'law enforcement', 'homeland security', 'visa bonds', 'public benefits', 'immigration officers', 'task forces', 'federal funding']","['Immigration and Nationality Act (8 U.S.C. 1101 et seq.)', '3 U.S.C. 301', '8 U.S.C. 1225(b)(1)(A)', '8 U.S.C. 1228', '8 U.S.C. 1229a(d)', '8 U.S.C. 1357(g)', '8 U.S.C. 1229c', '8 U.S.C. 1253(d)', '8 U.S.C. 1373', '8 U.S.C. 1644', '18 U.S.C. 3771']"
